date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:08:24	144671/144671	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Apr%202021%2013:08:24%20GMT	https://www.reservhotel.com/freeport-bahamas/grand-lucayan-resort/booking-engine/ibe5_extras.main?hotel=17037&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=10-JUN-21&dDate=17-JUN-21&rooms=1&room=ISV&rate=01&s=69381783&PC=&lang=1&linked_rate=&linked_room=&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&portfrom=FLL&portto=FPO&chat=Y&airportTo=&source=FE&r=https%3A%2F%2Fwww.reservhotel.com%2Ffreeport-bahamas%2Fgrand-lucayan-resort%2Fbooking-engine%2Fibe5.main%3Fhotel%3D17037_aDate%3D15-MAY-21_d	/home/hectorsum/Desktop/Projects/balearia-caribbean/www.reservhotel.com/freeport-bahamas/grand-lucayan-resort/booking-engine/ibe5_extras5587.html	(from )
08:08:25	194/194	---MCZ	200	added ('OK')	text/plain	etag:W/%22123ce7-28d-59aee0ac30440%22	https://www.reservhotel.com/robots.txt		(from )
08:08:26	196/196	---MC-	200	added ('OK')	text/css	date:Wed,%2028%20Apr%202021%2013:08:25%20GMT	https://fonts.googleapis.com/css?family=Oswald	/home/hectorsum/Desktop/Projects/balearia-caribbean/fonts.googleapis.com/css3f04.css	(from https://www.reservhotel.com/freeport-bahamas/grand-lucayan-resort/booking-engine/ibe5_extras.main?hotel=17037&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=10-JUN-21&dDate=17-JUN-21&rooms=1&room=ISV&rate=01&s=69381783&PC=&lang=1&linked_rate=&linked_room=&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&portfrom=FLL&portto=FPO&chat=Y&airportTo=&source=FE&r=https%3A%2F%2Fwww.reservhotel.com%2Ffreeport-bahamas%2Fgrand-lucayan-resort%2Fbooking-engine%2Fibe5.main%3Fhotel%3D17037_aDate%3D15-MAY-21_d)
08:08:28	19625/19625	---MCZ	200	added ('OK')	text/css	etag:W/%2215746e-6b7d-58ee3e0099cc0%22	https://www.reservhotel.com/ibe5/assets/css/extras.css	/home/hectorsum/Desktop/Projects/balearia-caribbean/www.reservhotel.com/ibe5/assets/css/extras.css	(from https://www.reservhotel.com/freeport-bahamas/grand-lucayan-resort/booking-engine/ibe5_extras.main?hotel=17037&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=10-JUN-21&dDate=17-JUN-21&rooms=1&room=ISV&rate=01&s=69381783&PC=&lang=1&linked_rate=&linked_room=&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&portfrom=FLL&portto=FPO&chat=Y&airportTo=&source=FE&r=https%3A%2F%2Fwww.reservhotel.com%2Ffreeport-bahamas%2Fgrand-lucayan-resort%2Fbooking-engine%2Fibe5.main%3Fhotel%3D17037_aDate%3D15-MAY-21_d)
08:08:29	150996/150996	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:02%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/css/bootstrap.min.css	/home/hectorsum/Desktop/Projects/balearia-caribbean/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-alpha.6/css/bootstrap.min.css	(from https://www.reservhotel.com/freeport-bahamas/grand-lucayan-resort/booking-engine/ibe5_extras.main?hotel=17037&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=10-JUN-21&dDate=17-JUN-21&rooms=1&room=ISV&rate=01&s=69381783&PC=&lang=1&linked_rate=&linked_room=&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&portfrom=FLL&portto=FPO&chat=Y&airportTo=&source=FE&r=https%3A%2F%2Fwww.reservhotel.com%2Ffreeport-bahamas%2Fgrand-lucayan-resort%2Fbooking-engine%2Fibe5.main%3Fhotel%3D17037_aDate%3D15-MAY-21_d)
08:08:29	3087/3087	---MCZ	200	added ('OK')	text/css	etag:W/%22157480-111c-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/modal_index.css	/home/hectorsum/Desktop/Projects/balearia-caribbean/www.reservhotel.com/ibe5/assets/css/modal_index.css	(from https://www.reservhotel.com/freeport-bahamas/grand-lucayan-resort/booking-engine/ibe5_extras.main?hotel=17037&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=10-JUN-21&dDate=17-JUN-21&rooms=1&room=ISV&rate=01&s=69381783&PC=&lang=1&linked_rate=&linked_room=&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&portfrom=FLL&portto=FPO&chat=Y&airportTo=&source=FE&r=https%3A%2F%2Fwww.reservhotel.com%2Ffreeport-bahamas%2Fgrand-lucayan-resort%2Fbooking-engine%2Fibe5.main%3Fhotel%3D17037_aDate%3D15-MAY-21_d)
08:08:29	3606/3606	---MCZ	200	added ('OK')	text/css	etag:W/%2215747f-1332-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/jquery.fancybox.css	/home/hectorsum/Desktop/Projects/balearia-caribbean/www.reservhotel.com/ibe5/assets/css/jquery.fancybox.css	(from https://www.reservhotel.com/freeport-bahamas/grand-lucayan-resort/booking-engine/ibe5_extras.main?hotel=17037&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=10-JUN-21&dDate=17-JUN-21&rooms=1&room=ISV&rate=01&s=69381783&PC=&lang=1&linked_rate=&linked_room=&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&portfrom=FLL&portto=FPO&chat=Y&airportTo=&source=FE&r=https%3A%2F%2Fwww.reservhotel.com%2Ffreeport-bahamas%2Fgrand-lucayan-resort%2Fbooking-engine%2Fibe5.main%3Fhotel%3D17037_aDate%3D15-MAY-21_d)
08:08:31	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%2213bf44-791c-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/css/font_awesome/css/font-awesome.min.css	/home/hectorsum/Desktop/Projects/balearia-caribbean/www.reservhotel.com/ibe5/assets/css/font_awesome/css/font-awesome.min.css	(from https://www.reservhotel.com/freeport-bahamas/grand-lucayan-resort/booking-engine/ibe5_extras.main?hotel=17037&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=10-JUN-21&dDate=17-JUN-21&rooms=1&room=ISV&rate=01&s=69381783&PC=&lang=1&linked_rate=&linked_room=&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&portfrom=FLL&portto=FPO&chat=Y&airportTo=&source=FE&r=https%3A%2F%2Fwww.reservhotel.com%2Ffreeport-bahamas%2Fgrand-lucayan-resort%2Fbooking-engine%2Fibe5.main%3Fhotel%3D17037_aDate%3D15-MAY-21_d)
08:08:32	89475/89475	---MCZ	200	added ('OK')	application/javascript	etag:W/%221adf30-15d83-5ba6fbd806dc0%22	https://www.reservhotel.com/ibe5/assets/js/jquery-3.5.1.min.js	/home/hectorsum/Desktop/Projects/balearia-caribbean/www.reservhotel.com/ibe5/assets/js/jquery-3.5.1.min.js	(from https://www.reservhotel.com/freeport-bahamas/grand-lucayan-resort/booking-engine/ibe5_extras.main?hotel=17037&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=10-JUN-21&dDate=17-JUN-21&rooms=1&room=ISV&rate=01&s=69381783&PC=&lang=1&linked_rate=&linked_room=&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&portfrom=FLL&portto=FPO&chat=Y&airportTo=&source=FE&r=https%3A%2F%2Fwww.reservhotel.com%2Ffreeport-bahamas%2Fgrand-lucayan-resort%2Fbooking-engine%2Fibe5.main%3Fhotel%3D17037_aDate%3D15-MAY-21_d)
08:08:33	25045/25045	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffc-61d5%22	https://cdnjs.cloudflare.com/ajax/libs/tether/1.4.3/js/tether.min.js	/home/hectorsum/Desktop/Projects/balearia-caribbean/cdnjs.cloudflare.com/ajax/libs/tether/1.4.3/js/tether.min.js	(from https://www.reservhotel.com/freeport-bahamas/grand-lucayan-resort/booking-engine/ibe5_extras.main?hotel=17037&hotel_adults=2&air_adults=2&hotel_children=0&air_children=0&hotel_infants=0&air_infants=0&aDate=10-JUN-21&dDate=17-JUN-21&rooms=1&room=ISV&rate=01&s=69381783&PC=&lang=1&linked_rate=&linked_room=&rategroup=&flight_opt=&amenities=&currency=&agent=&usr=DIEGO&m=N&airline=&sub_source=&view_type=&PCC=&AirportDep=&hide_agent_info=&callc_num=&stops=&fareclass=E&call_center_country=&portfrom=FLL&portto=FPO&chat=Y&airportTo=&source=FE&r=https%3A%2F%2Fwww.reservhotel.com%2Ffreeport-bahamas%2Fgrand-lucayan-resort%2Fbooking-engine%2Fibe5.main%3Fhotel%3D17037_aDate%3D15-MAY-21_d)
